Date,Open,High,Low,Close,Adj Close,Volume
2024-04-11,83200.000000,84700.000000,82500.000000,84100.000000,84100.000000,25538009
2024-04-12,84700.000000,84900.000000,83200.000000,83700.000000,83700.000000,17061770
2024-04-15,82900.000000,83200.000000,81200.000000,82200.000000,82200.000000,26663772
2024-04-16,81200.000000,81300.000000,79400.000000,80000.000000,80000.000000,31949845
2024-04-17,80700.000000,80800.000000,78900.000000,78900.000000,78900.000000,22611631
2024-04-18,78800.000000,80100.000000,78300.000000,79600.000000,79600.000000,21370190
2024-04-19,78300.000000,78700.000000,76300.000000,77600.000000,77600.000000,31317563
2024-04-22,77400.000000,77500.000000,75100.000000,76100.000000,76100.000000,30469477
2024-04-23,76400.000000,76800.000000,75500.000000,75500.000000,75500.000000,18717699
2024-04-24,77500.000000,78800.000000,77200.000000,78600.000000,78600.000000,22166150
2024-04-25,77300.000000,77500.000000,76300.000000,76300.000000,76300.000000,15549134
2024-04-26,77800.000000,77900.000000,76500.000000,76700.000000,76700.000000,12755629
2024-04-29,77400.000000,77600.000000,76200.000000,76700.000000,76700.000000,14664474
2024-04-30,77000.000000,78500.000000,76600.000000,77500.000000,77500.000000,19007007
2024-05-02,77600.000000,78600.000000,77300.000000,78000.000000,78000.000000,18900640
2024-05-03,79000.000000,79000.000000,77500.000000,77600.000000,77600.000000,13151889
2024-05-07,79600.000000,81300.000000,79400.000000,81300.000000,81300.000000,26238868
2024-05-08,80800.000000,81400.000000,80500.000000,81300.000000,81300.000000,13089576
2024-05-09,81100.000000,81500.000000,79700.000000,79700.000000,79700.000000,18759935
2024-05-10,80400.000000,81100.000000,78900.000000,79200.000000,79200.000000,16976124
2024-05-13,79400.000000,79900.000000,77600.000000,78400.000000,78400.000000,18652344
2024-05-14,78600.000000,78800.000000,77900.000000,78300.000000,78300.000000,11763992
2024-05-16,80200.000000,80300.000000,78100.000000,78200.000000,78200.000000,20989778
2024-05-17,78600.000000,78800.000000,77200.000000,77400.000000,77400.000000,15918201
2024-05-20,78100.000000,79100.000000,77900.000000,78900.000000,78900.000000,19456783
2024-05-21,78500.000000,79000.000000,78200.000000,78400.000000,78400.000000,13690583
2024-05-22,78100.000000,78700.000000,77300.000000,77700.000000,77700.000000,19521506
2024-05-23,77700.000000,79100.000000,77100.000000,78300.000000,78300.000000,18728087
2024-05-24,76800.000000,77000.000000,75700.000000,76000.000000,76000.000000,26347286
